;1;2;3;4;5;6;7;8;9;10;11
1;0,87766827;0,061267582;0,036734709;0,011730083;0,002872489;0,00479215;0,002634285;0,000449274;0,000396599;0,00021161;0,001242949
2;0,208175716;0,711755134;0,013847962;0,014095986;0,019313919;0,021247857;0,005768014;0,001583127;0,001209938;0,000630582;0,002371765
3;0,041499187;0,260925216;0,613383872;0,006810146;0,004166172;0,036917894;0,023415701;0,003462801;0,00239742;0,002044189;0,004977401
4;0,000791177;0,108697813;0,299445936;0,489883304;0,008126955;0,01127759;0,057829402;0,004054921;0,006768071;0,004020217;0,009104614
5;0,000596885;0,075516071;0,076757366;0,229371561;0,507874907;0,010604704;0,065463532;0,00480775;0,01026355;0,005386539;0,013357137
6;0,000902518;0,003085541;0,1160257;0,015002234;0,161316676;0,590659739;0,030205354;0,036006072;0,012462135;0,010924685;0,023409346
7;0,000557805;0,003110568;0,004168768;0,052441329;0,043684193;0,140568788;0,623122593;0,020102388;0,034734539;0,025168522;0,052340508
8;0,000329958;0,002091936;0,010613962;0,003665073;0,004892031;0,058834404;0,272921922;0,445800237;0,040938617;0,054295674;0,105616186
9;0,000312338;0,003064442;0,005401153;0,009138325;0,011927744;0,024325866;0,127633932;0,121552484;0,423704606;0,076477224;0,196461885
10;0,000111637;0,000551897;0,001664326;0,003870196;0,004929878;0,023639726;0,086315426;0,074424038;0,155403663;0,181185208;0,467904005
11;0;0;0;0;0;0;0;0;0;0;1
