;1;2;3;4;5;6;7;8;9;10;11
1;0.90907229;0.047988926;0.026891192;0.008071273;0.001911923;0.003102998;0.001635158;0.000270637;0.000235992;0.000124581;0.000695029
2;0.260724699;0.681792488;0.010632774;0.010622057;0.01415213;0.014792724;0.003774427;0.001002358;0.000751572;0.000385278;0.001369492
3;0.059156591;0.305595279;0.57456584;0.005277121;0.003207579;0.02760731;0.016424288;0.002304507;0.001564679;0.001308391;0.002988414
4;0.001406413;0.143713491;0.331503105;0.449358653;0.006408355;0.008803368;0.04302694;0.002826758;0.004623511;0.002674705;0.005654701
5;0.001074926;0.102749182;0.093131514;0.252141236;0.469967267;0.008422966;0.049715178;0.003442115;0.007196725;0.003673087;0.008485804
6;0.001594475;0.004948446;0.15132397;0.017973441;0.18234147;0.558384861;0.023831077;0.027329992;0.009100567;0.00776954;0.015402161
7;0.001007654;0.005037367;0.00634681;0.07128062;0.054705426;0.163103221;0.599476039;0.016220895;0.027318421;0.019115011;0.036388536
8;0.000610223;0.003467227;0.015935218;0.005245553;0.00688034;0.077107402;0.309681092;0.424883232;0.034478445;0.044174698;0.077536569
9;0.00057903;0.005009667;0.00820163;0.013189001;0.016520939;0.032279317;0.154824849;0.135150752;0.41525298;0.066541732;0.152450104
10;0.000216214;0.00097295;0.002737841;0.006002309;0.007314749;0.032919359;0.108992021;0.08716174;0.170045263;0.183192116;0.400445437
11;0;0;0;0;0;0;0;0;0;0;1
