;1;2;3;4;5;6;7;8;9;10;11
1;0,895885115;0,053709996;0,031019301;0,009571521;0,002301216;0,003780948;0,002030349;0,000340578;0,000298611;0,00015839;0,000903975
2;0,236462288;0,696684554;0,012007121;0,012095864;0,016318271;0,017450192;0,004577499;0,001233665;0,000932931;0,000481789;0,001755827
3;0,050657781;0,285708154;0,593185093;0,005934908;0,003617799;0,031544496;0,019310307;0,002773907;0,001899852;0,001602543;0,003765159
4;0,001091624;0,127261275;0,317855429;0,468430316;0,007151236;0,009868264;0,049271152;0,003332785;0,005500665;0,003219916;0,007017339
5;0,00082951;0,08983494;0,0857382;0,242555549;0,487989047;0,009369026;0,056412495;0,0040103;0,00846292;0,004373472;0,010424541
6;0,001240998;0,004022194;0,134834767;0,016641222;0,173251489;0,57418649;0,026586849;0,031020765;0,010509515;0,009078976;0,018626734
7;0,000776527;0,004076613;0,005280191;0,062369463;0,049658139;0,153172422;0,611605583;0,017916006;0,030520158;0,021691035;0,042933861
8;0,000465358;0,002777045;0,013339142;0,004486137;0,005930315;0,068580511;0,293678902;0,435494154;0,03736078;0,048610975;0,089276681
9;0,000441096;0,004037034;0,006831175;0,011237285;0,014337174;0,028553557;0,142535954;0,12936698;0,420379568;0,071062878;0,171217301
10;0,000161527;0,000758127;0,002200325;0,004952452;0,00615586;0,028498194;0,098561437;0,081521078;0,163931729;0,182946684;0,430312587
11;0;0;0;0;0;0;0;0;0;0;1
