;1;2;3;4;5;6;7;8;9;10;11
1;0,903427269;0,050464751;0,0286568;0,008706698;0,002075976;0,003387506;0,001799969;0,000299679;0,000261947;0,000138573;0,000780833
2;0,249886627;0,688640632;0,011225476;0,011255572;0,015078847;0,01592025;0,004111974;0,001099108;0,000827216;0,000425435;0,001528864
3;0,055286067;0,296864994;0,583005466;0,005561267;0,003384578;0,029297339;0,017650216;0,002502314;0,001705508;0,001431625;0,003310626
4;0,001258795;0,136305176;0,325640146;0,457933825;0,006730293;0,009263989;0,045704469;0,00304153;0,004994623;0,002904448;0,006222705
5;0,00095965;0,096908922;0,089864884;0,248046564;0,478104501;0,008833519;0,052597136;0,003684289;0,007734613;0,00396933;0,009296592
6;0,001428843;0,004520104;0,143919638;0,017386775;0,178407436;0,565605808;0,025025416;0,028918351;0,009703019;0,008327049;0,016757562
7;0,000899048;0,004592456;0,005857139;0,067256095;0,052460476;0,158765539;0,6051193;0,016958784;0,028705202;0,020223786;0,039162175
8;0,00054195;0,00314662;0,014745506;0,004900053;0,006449268;0,073281042;0,302731521;0,429797674;0,035744856;0,046108934;0,082552576
9;0,000514004;0,004558647;0,007572683;0,012299889;0,01553238;0,030604439;0,149392506;0,132667671;0,417774372;0,068545112;0,160538295
10;0,000190293;0,000872356;0,002488428;0,005519068;0,00678468;0,030915934;0,104342901;0,084692358;0,167444706;0,183214129;0,413535147
11;0;0;0;0;0;0;0;0;0;0;1
