;1;2;3;4;5;6;7;8;9;10;11
1;0,906881956;0,048954436;0,027575954;0,008316588;0,001975109;0,003212364;0,001698328;0,000281746;0,000245912;0,000129925;0,000727683
2;0,256433271;0,684539636;0,010863537;0,010868331;0,014511586;0,015228377;0,003904278;0,001039492;0,000780567;0,000400654;0,001430271
3;0,057609643;0,302167823;0,577929227;0,005387836;0,003276508;0,028263867;0,01689822;0,002380692;0,001618845;0,001355726;0,003111612
4;0,001346562;0,140768814;0,329225792;0,452763239;0,006533985;0,008982958;0,044066628;0,002909754;0,004766711;0,002763189;0,005872368
5;0,001028151;0,100422943;0,091845071;0,250555306;0,473204231;0,008583279;0,050836096;0,003535886;0,007404673;0,003787383;0,008796982
6;0,001527347;0,00477597;0,148384896;0,017742779;0,180807815;0,561273151;0,02429716;0,027947799;0,009334188;0,0079853;0,015923595
7;0,000963577;0,004858097;0,006150342;0,069678708;0,053818472;0,161404527;0,601751437;0,016509446;0,027859451;0,019546308;0,037459635
8;0,000582475;0,003337847;0,015458289;0,005107541;0,006708369;0,075589119;0,306967137;0,426860643;0,034975837;0,044931651;0,079481093
9;0,000552597;0,004827815;0,007949324;0,012833612;0,016127014;0,031614163;0,152684984;0,134186609;0,416293734;0,067331699;0,155598449
10;0,000205648;0,000932195;0,002637246;0,005808172;0,007102457;0,032120628;0,107153311;0,086193631;0,169040167;0,183225207;0,405581337
11;0;0;0;0;0;0;0;0;0;0;1
