;1;2;3;4;5;6;7;8;9;10;11
1;0,8942851;0,054389473;0,031520891;0,00975724;0,002349869;0,003866343;0,00208071;0,000349564;0,000306682;0,00016276;0,000931369
2;0,233755972;0,698242372;0,012171455;0,012273216;0,01658133;0,017778081;0,004678356;0,001262981;0,000956037;0,00049414;0,00180606
3;0,049746813;0,283412421;0,595196085;0,006013308;0,003666803;0,032019572;0,019665606;0,002832574;0,001941974;0,001639712;0,003865133
4;0,001059926;0,125456023;0,31621398;0,470525989;0,007239222;0,009994855;0,050026132;0,00339518;0,005609472;0,003288063;0,007191157
5;0,000804886;0,088430406;0,084895598;0,241390682;0,489951573;0,009480773;0,057216752;0,004079797;0,008618782;0,004460396;0,010670355
6;0,001205344;0,003926081;0,13301524;0,016488397;0,17217331;0,575862565;0,026913194;0,03146388;0,010680797;0,009239472;0,019031722
7;0,000753357;0,003977212;0,005167788;0,061397731;0,049090466;0,152014976;0,612840001;0,018115011;0,030899765;0,022000226;0,043743467
8;0,000450929;0,002706112;0,013064529;0,004404578;0,00582772;0,067638435;0,291793049;0,43658525;0,037692932;0,049130135;0,09070633
9;0,000427366;0,003936693;0,006686649;0,011028248;0,014100199;0,028143425;0,141136719;0,12867061;0,42083027;0,071574953;0,173464867
10;0,000156149;0,000736428;0,00214495;0,004842426;0,00603278;0,028019421;0,097393195;0,080866542;0,163183175;0,18285095;0,433773985
11;0;0;0;0;0;0;0;0;0;0;1
