;1;2;3;4;5;6;7;8;9;10;11
1;0,907820774;0,048541361;0,0272824;0,008211247;0,001947953;0,003165328;0,001671131;0,000276959;0,000241637;0,000127621;0,000713588
2;0,258258893;0,683376526;0,010764751;0,010762845;0,014357496;0,015041359;0,003848446;0,001023512;0,000768084;0,000394031;0,001404056
3;0,058265423;0,303630594;0,576501748;0,005340454;0,003247003;0,027982578;0,01669481;0,002347949;0,001595554;0,001335362;0,003058524
4;0,001371796;0,142019711;0,330201607;0,45131626;0,00648025;0,008906117;0,043621116;0,002874127;0,004705208;0,00272516;0,005778648
5;0,001047865;0,101410354;0,092393465;0,2512356;0,471829473;0,008514725;0,050356067;0,003495663;0,007315423;0,003738291;0,008663073
6;0,001555653;0,00484888;0,149634059;0,017841167;0,181464081;0,56004896;0,024097806;0,02768323;0,009234031;0,007892733;0,0156994
7;0,000982153;0,004933859;0,006233507;0,070358846;0,054196111;0,162130181;0,60078985;0,016386119;0,027628016;0,019361614;0,036999743
8;0,000594163;0,003392493;0,015660239;0,005166059;0,006781322;0,076234511;0,308127703;0,426024337;0,034763593;0,044608221;0,07864736
9;0,00056373;0,004904649;0,008056132;0,012984263;0,016294196;0,031896816;0,153597094;0,134599797;0,415857632;0,066995102;0,15425059
10;0,000210094;0,000949383;0,002679743;0,00589031;0,007192382;0,032459546;0,107935875;0,086607021;0,169471655;0,183214968;0,403389024
11;0;0;0;0;0;0;0;0;0;0;1
