_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.8677717066;0.0652151641;0.0398407719;0.0129411387;0.0031982357;0.0053765121;0.0029902783;0.0005142233;0.0004554767;0.0002437423;0.0014527502
0.1948236329;0.717804308;0.0148207968;0.0151647784;0.0209402421;0.0233667287;0.0064525592;0.0017872002;0.0013731454;0.0007189173;0.002747691
0.037453163;0.2486074683;0.6221681869;0.0072700858;0.0044554841;0.0398030836;0.0256975945;0.0038556473;0.0026838392;0.0023007845;0.0057046627
0.000671498;0.1001755086;0.2897453715;0.4995633599;0.0086340484;0.0120148102;0.0624417137;0.0044573265;0.0074816156;0.0044766646;0.010338083
0.0005047703;0.0690382578;0.072386574;0.2223330443;0.5166695457;0.0112438364;0.070283924;0.0052460284;0.0112640513;0.0059573873;0.0150725806
0.0007673091;0.0026937402;0.1073156681;0.0141966578;0.155152558;0.5974994177;0.03208553;0.0386596269;0.0135240592;0.0119427302;0.0261627027
0.000471317;0.0027083942;0.0036919616;0.0479353846;0.0408365604;0.1342218773;0.6273472143;0.0212210443;0.0369289463;0.0270185146;0.0576187854
0.0002769866;0.0018098206;0.0094373831;0.0033017666;0.0044284571;0.0543177271;0.2622897095;0.4496945844;0.042708335;0.0571878675;0.1145473624
0.0002620197;0.0026614145;0.0047869294;0.0082136544;0.0108434214;0.0223786292;0.1203895017;0.1174333544;0.4240822318;0.0790687246;0.2098801189
0.0000925226;0.0004693677;0.0014427754;0.003410087;0.004397194;0.0214603202;0.0805147343;0.0708743665;0.1508082451;0.179712984;0.4868174032
