key1;key2;percent_31JAN2010;percent_28FEB2010;percent_31MAR2010;percent_30APR2010;percent_31MAY2010;percent_30JUN2010;percent_31JUL2010;percent_31AUG2010;percent_30SEP2010;percent_31OCT2010;percent_30NOV2010;percent_31DEC2010;percent_31JAN2011;percent_28FEB2011;percent_31MAR2011;percent_30APR2011;percent_31MAY2011;percent_30JUN2011;percent_31JUL2011;percent_31AUG2011;percent_30SEP2011;percent_31OCT2011;percent_30NOV2011;percent_31DEC2011;percent_31JAN2012;percent_29FEB2012;percent_31MAR2012;percent_30APR2012;percent_31MAY2012;percent_30JUN2012;percent_31JUL2012;percent_31AUG2012;percent_30SEP2012;percent_31OCT2012;percent_30NOV2012;percent_31DEC2012;percent_31JAN2013;percent_28FEB2013;percent_31MAR2013;percent_30APR2013;percent_31MAY2013;percent_30JUN2013;percent_31JUL2013;percent_31AUG2013;percent_30SEP2013;percent_31OCT2013;percent_30NOV2013;percent_31DEC2013;percent_31JAN2014;percent_28FEB2014;percent_31MAR2014;percent_30APR2014;percent_31MAY2014;percent_30JUN2014;percent_31JUL2014;percent_31AUG2014;percent_30SEP2014;percent_31OCT2014;percent_30NOV2014;percent_31DEC2014;percent_31JAN2015;percent_28FEB2015;percent_31MAR2015;percent_30APR2015;percent_31MAY2015;percent_30JUN2015;percent_31JUL2015;percent_31AUG2015;percent_30SEP2015;percent_31OCT2015;percent_30NOV2015;percent_31DEC2015;percent_31JAN2016;percent_29FEB2016;percent_31MAR2016;percent_30APR2016;percent_31MAY2016;percent_30JUN2016;percent_31JUL2016;percent_31AUG2016;percent_30SEP2016;percent_31OCT2016;percent_30NOV2016;percent_31DEC2016
1;1;94.898216689;94.767096135;94.435456563;86.726012548;87.23390012;86.594627145;87.35882433;89.06184413;89.244003077;87.512324482;85.711954038;85.231867576;87.502019451;87.239739188;86.000062029;86.940556148;89.499737739;91.056746192;91.599365191;91.909579737;90.930370681;89.038255521;88.982095023;88.557988187;88.672843036;88.398336963;88.196502358;89.188248096;90.093550865;90.670567475;90.303116014;89.944343108;88.74283317;88.5159423;87.414283715;88.521930034;87.343275076;85.94763616;85.168339117;84.554530043;84.68549727;86.718904979;87.4993684;88.929701051;88.236481033;87.174647328;86.651741294;85.466027022;84.805349893;82.754820937;81.522316684;79.551820728;81.031378601;83.408326416;85.148471806;85.377540107;82.644996555;83.816434751;82.931688441;81.406177798;82.059147939;81.816057419;81.272953725;82.045738299;82.509358845;83.903491913;86.577684463;86.943425487;85.96899665;86.758080313;86.307626939;85.287741427;85.795454545;84.578571272;85.214663214;85.45844982;86.775373179;88.297595451;90.013337105;90.413965288;89.772194436;88.951343084;88.521116195;88.123164481
1;2;1.5435733513;1.6650148662;1.6291056849;6.6419209671;5.6600615879;5.6538757486;5.2762280582;4.7572408003;4.7730610532;5.9191513956;7.0542534439;7.7710386657;6.3943907719;6.5234510347;7.2946065813;6.6536940556;5.3730658274;4.3873837444;4.0486686651;3.9797651054;4.5487894351;5.6018246536;5.5195262935;6.0234145651;5.8370505929;5.939417937;5.6429734129;5.127312296;4.5193654811;4.1980124454;4.0446895771;4.148543099;5.0808744698;5.466598198;6.4747865839;5.8655085191;6.6251899696;7.5885564941;7.8261277314;8.0994537578;7.381913126;5.975996826;5.4620787227;4.6474849505;5.205811138;5.8116431552;6.1094527363;6.7701194439;6.6634822068;7.5895316804;7.9702444208;9.4177064765;9.0106310014;7.6056091914;6.6127559671;6.5796791444;8.3816317432;7.8425900084;8.7008160607;10.503678954;10.133737764;10.388916708;10.800625938;10.326136606;9.8460989958;8.8790987848;6.9406118776;6.9130058752;7.3931065811;6.8672170141;7.1276821755;7.8734726054;7.7130681818;8.3083848692;7.9927568273;7.7083586565;6.7501948324;5.8281778685;4.8518772986;4.5524100995;4.8648015005;5.3818946563;5.6091065937;5.9831086627
1;3;1.7118102288;1.7205153617;1.8887091313;3.4654928883;3.8961038961;4.4863002241;4.2352701048;3.424513782;3.3428911113;3.7194437834;4.3154664752;4.1603487491;3.5122297974;3.7074369232;4.177650963;3.8980603854;3.0717282979;2.6789324707;2.4016928231;2.2711192868;2.6621947385;3.151674327;3.2532073876;3.0806776784;3.1072477029;3.1676895664;3.3599065069;3.1338411317;2.9918199485;2.7723599889;3.2574364776;3.5639118844;3.7384048851;3.6179450072;3.7645192891;3.3694459027;3.5761778116;3.8082792738;4.0420144425;4.2475042381;4.5003560408;3.7988494346;3.6026476681;3.1170288746;3.3494753834;3.5515597059;3.6865671642;4.1805365185;4.4900883688;5.0826446281;5.543747786;6.8118156353;6.0313786008;5.299025818;4.8997869658;4.6673796791;5.8322863049;5.1871934931;5.2603348531;5.2251803931;5.1047842272;5.2345184443;5.3108932392;5.0306038552;5.1310238279;4.8047071346;4.4031193761;4.1364707286;4.3921412753;4.1667832657;4.2941363926;4.4811785574;4.209280303;4.5781342191;4.4111763839;4.4264819092;4.1444357852;3.6879091837;3.0978458554;2.9537309226;3.3115817443;3.6593059937;3.782536944;3.7485635067
1;4;1.1986877524;1.2646184341;1.2980172316;1.5964261078;1.5798634355;1.7731089626;1.7247244523;1.4796418078;1.440660186;1.5537347431;1.5995299341;1.4973464746;1.3570713109;1.3828078244;1.31811556;1.3652626954;1.1441122476;1.149076695;1.125022042;1.0895712466;0.9957027565;1.1300411238;1.1102495418;1.1565804831;1.2505242289;1.2670758266;1.3690053842;1.3928182807;1.3874452027;1.3095569797;1.268090322;1.1832935784;1.2585652356;1.2044255637;1.1102299762;1.0786044958;1.1018237082;1.0920800859;1.116008628;1.1631192315;1.2817469737;1.4530847054;1.4349957051;1.3519028671;1.5234059726;1.5299026426;1.6417910448;1.6007440768;1.6527346549;1.7906336088;1.7091746369;1.7231134878;1.5517832647;1.4852998995;1.4173296813;1.313368984;1.3293884003;1.2997886847;1.3984138539;1.318736004;1.1409072108;1.1116675013;1.1209401846;1.0962574987;1.1111771347;1.179740398;1.0407918416;1.0050401121;1.0845494293;1.1025605149;1.1605056299;1.1529365392;1.0819128788;1.1800441424;1.1370096646;1.1182691139;1.0570909018;1.067131159;1.0225114174;0.9684693754;0.9592841513;0.9349010611;1.007051234;0.9759033947
1;5;0.1135598923;0.1347869177;0.1542571203;0.4861544526;0.4050073638;0.3713492356;0.3163695741;0.2868336365;0.3251975663;0.3229864346;0.3231703336;0.3285317159;0.326343339;0.2677418339;0.3225506311;0.2573598644;0.1901389982;0.1583771398;0.1657555987;0.1698033112;0.2026342452;0.2902857933;0.2608205273;0.3183249036;0.2935681879;0.3365670164;0.342251346;0.239390642;0.2078908121;0.2229033157;0.2074199783;0.1730508395;0.2004381672;0.1867326455;0.223911928;0.2052212094;0.2469604863;0.3080225883;0.3094813842;0.3814277642;0.4652266793;0.4066653442;0.4294881512;0.3979185797;0.403551251;0.3775084443;0.3731343284;0.4307812806;0.5588727012;0.624426079;0.7881686149;0.5432476021;0.505829904;0.4237473243;0.3956349724;0.4620320856;0.3566651806;0.3747856944;0.3792958124;0.3981089823;0.3929408521;0.3138040394;0.3321304251;0.3867352843;0.3565274229;0.3104579995;0.2549490102;0.2296382452;0.26971779;0.23786204;0.2363501168;0.280843516;0.2675189394;0.2666025655;0.2884635631;0.3200842754;0.3197250365;0.2963140929;0.2728044295;0.2758426288;0.2578930916;0.2504540675;0.2512939764;0.2608489447
1;6;0.1303835801;0.1189296333;0.1504947515;0.48943928;0.5355469273;0.5653875749;0.4830589196;0.4477403106;0.3741520386;0.4045830075;0.4929163674;0.508592368;0.3974280268;0.3622389517;0.3535651149;0.3264076329;0.2589824285;0.2291413937;0.2433433257;0.1591906042;0.2480522657;0.3282994091;0.4264768081;0.3643051675;0.3660070914;0.3444862403;0.429901081;0.3569096844;0.2892393908;0.3250673354;0.45255268;0.4489967728;0.4847806834;0.4294850847;0.4524886878;0.3770343149;0.508168693;0.5880431232;0.7033667823;0.7911094368;0.8687396155;0.8976393573;0.7882370775;0.6938067544;0.5094834544;0.6556725611;0.6815920398;0.6559624045;0.9171244328;1.1111111111;1.3460857244;0.9846362788;1.0073731139;0.978550522;0.9173514195;0.9026737968;0.8146556965;0.8372871895;0.8045668748;0.6611452742;0.6997104646;0.7411116675;0.6770350972;0.6212125826;0.5347911344;0.4878625706;0.4109178164;0.4234887119;0.485492022;0.478522457;0.4673889951;0.4779266851;0.4924242424;0.5812810035;0.4969153349;0.4618937644;0.4915772436;0.4304562837;0.3819262013;0.4469858656;0.414191935;0.4397285154;0.4275748256;0.4505572682
1;7;0.134589502;0.07135778;0.1805937018;0.2857799823;0.3983130272;0.2977484862;0.3265750442;0.2833356653;0.2272886216;0.2923877197;0.2350329699;0.2906242103;0.287569873;0.2771915457;0.2946375958;0.2699140041;0.2458693942;0.151637687;0.2327631811;0.205179001;0.1991405513;0.2280816947;0.2079515015;0.2405121494;0.232567006;0.2336171055;0.3505989399;0.2959738847;0.2576038324;0.2646976874;0.2592749729;0.2619147842;0.2610357526;0.2847672844;0.2192470961;0.2672648308;0.2849544073;0.2986885705;0.3657507268;0.2919570541;0.4319962022;0.3074786749;0.3132737103;0.3162942557;0.3026634383;0.4470494735;0.4427860697;0.4356765224;0.4442321471;0.5693296602;0.7306057386;0.623885918;0.5701303155;0.4849067319;0.3825920612;0.4363636364;0.4255664086;0.3827598581;0.2988391249;0.2808090143;0.261960568;0.2069771324;0.2714527513;0.2771095344;0.3089904332;0.2424529139;0.2339532094;0.2057797262;0.2186133666;0.2238701553;0.2390057361;0.2906976744;0.2817234848;0.3277900396;0.2905691365;0.3059033264;0.271766281;0.2382525477;0.2081396759;0.2315467322;0.2246795874;0.2217761208;0.2175380692;0.2663213002
1;8;0.0252355316;0.0515361744;0.0338613191;0.0295634464;0.0435131878;0.0401458633;0.0510273507;0.0454736253;0.0454577243;0.0407982865;0.0424365085;0.0347485469;0.0484668325;0.0503984628;0.0403188289;0.0690477685;0.0524521374;0.0404367165;0.0176335743;0.0530635347;0.0384306327;0.0380136158;0.0422952206;0.0530541506;0.0343131648;0.0554345674;0.0459117659;0.0565832427;0.0587517513;0.0371505526;0.0377127233;0.0561245966;0.0559362327;0.0840296905;0.055977982;0.071588794;0.0474924012;0.0373360713;0.0844040139;0.0941796949;0.0949442203;0.0843086689;0.0707392249;0.1071319253;0.0907990315;0.0993443274;0.039800995;0.0489524182;0.0716503463;0.0964187328;0.0929861849;0.0721500722;0.0900205761;0.0961076406;0.0608669188;0.0513368984;0.0526891744;0.0478449823;0.0574690625;0.0462090783;0.0344684958;0.0233683859;0.0255484942;0.0487225555;0.0356527423;0.0206972;0.0269946011;0.0328054636;0.0454261541;0.0391772772;0.0424899086;0.0369530942;0.0402462121;0.0349642709;0.0379003222;0.0628013452;0.041963911;0.0220233447;0.0444570181;0.0503362461;0.0547045952;0.0229423573;0.0393818918;0.0310100144
1;9;0.0420592194;0.03567889;0.0300989503;0.042702756;0.0301245147;0.0301093975;0.0476255273;0.0454736253;0.0454577243;0.0407982865;0.0359078148;0.0410664645;0.0290800995;0.0377988471;0.0434202773;0.047078024;0.0393391031;0.026957811;0.052900723;0.0495259658;0.0489117144;0.0207346995;0.0458198224;0.0530541506;0.0419383126;0.0395961196;0.0459117659;0.0391730141;0.0225968274;0.0650134671;0.0094281808;0.0608016463;0.0186454109;0.0420148452;0.0466483183;0.0334081039;0.0569908815;0.0980071872;0.1078495733;0.0800527406;0.0474721101;0.0843086689;0.1111616391;0.1020304051;0.0403551251;0.0745082456;0.07960199;0.083219111;0.0620969668;0.059687787;0.0442791357;0.0679059503;0.0471536351;0.0436852912;0.0347810965;0.0513368984;0.0283710939;0.0717674734;0.04597525;0.0462090783;0.041362195;0.0333834084;0.057484112;0.0274064375;0.0475369897;0.0413943999;0.0269946011;0.0298231487;0.0397478848;0.0335805233;0.0292118122;0.0197083169;0.0284090909;0.0371495378;0.0357947487;0.0486203963;0.0359690666;0.0260275892;0.0161661884;0.0201344984;0.0390747108;0.0382372622;0.0318805791;0.0383064884
1;10;0.0126177658;0.0198216056;0;0.0197089643;0.0368188513;0.0100364658;0.0102054701;0.0209878271;0.0174837401;0.0135994288;0.0228504276;0.0221127117;0.019386733;0.0094497118;0.024811587;0.0188312096;0.0098347758;0.0168486319;0.0246870041;0.0106127069;0.0139747755;0.027646266;0.0140984069;0.0141477735;0.0152502955;0.0514749555;0.0208689845;0.0261153428;0.0135580964;0.0092876382;0.0235704521;0.0140311492;0.0233067636;0.0186732646;0.027988991;0.0334081039;0.0047492401;0.0420030802;0.0609584545;0.0894707101;0.0474721101;0.0495933347;0.045475216;0.040812162;0.0504439064;0.0248360819;0.0248756219;0.0293714509;0.0429902078;0.0459136823;0.030995395;0.0509294627;0.0300068587;0.0349482329;0.0173905482;0.0213903743;0.0405301342;0.0199354093;0.0383127083;0.0319909004;0.0344684958;0.0300450676;0.0191613707;0.0152257986;0.0237684949;0.0206972;0.023995201;0.0178938892;0.0255522117;0.0139918847;0.018589335;0.0123176981;0.0118371212;0.0218526693;0.0084222938;0.0121550991;0.0179845333;0.0140148557;0.0202077355;0.0120806991;0.0195373554;0.0133830418;0.0131272973;0.0218894219
