_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.9046093195;0.049949695;0.0282868744;0.0085727836;0.0020412984;0.0033272173;0.001764916;0.0002934861;0.0002564071;0.0001355837;0.000762419
0.2520969245;0.6872684904;0.0111019137;0.0111232393;0.0148847143;0.0156828744;0.0040405133;0.0010785659;0.000811129;0.0004168828;0.0014947524
0.0560656651;0.2986654056;0.5812992732;0.0055020895;0.0033476896;0.0289440166;0.0173923041;0.0024605005;0.001675687;0.0014054852;0.0032418838
0.0012879566;0.1378083345;0.3268659431;0.4561914698;0.0066633763;0.0091681357;0.0451443489;0.0029963229;0.0049163617;0.0028558826;0.0061018679
0.0009823978;0.0980906418;0.0905358224;0.2489057566;0.4764554138;0.0087482539;0.0519955325;0.0036334436;0.0076214555;0.0039068468;0.0091244354
0.0014615812;0.0046055192;0.1454247066;0.0175075269;0.1792261187;0.564153245;0.0247771753;0.0285868022;0.0095767739;0.0082099208;0.0164706301
0.0009204739;0.0046810931;0.0059552555;0.0680711551;0.0529196206;0.1596629749;0.6039965429;0.0168058256;0.028416857;0.019992364;0.0385778373
0.0005553924;0.0032103613;0.0149841693;0.004969693;0.0065363068;0.0740591871;0.3041745348;0.4288171195;0.0354838295;0.0457083773;0.0815010291
0.0005268041;0.004648421;0.0076987352;0.0124789475;0.0157322868;0.0309446626;0.1505079027;0.1331870514;0.4172892577;0.068134335;0.1588515959
0.0001953762;0.0008922485;0.002538052;0.0056157293;0.0068911499;0.0313207984;0.1052924683;0.0852025261;0.1679918483;0.183226333;0.41083347
