_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.8877531454;0.057131595;0.0335696468;0.0105233226;0.0025515755;0.0042218565;0.0022916846;0.000387366;0.0003406984;0.0001812059;0.0010479032
0.2231758726;0.7041088372;0.0128370025;0.0129939101;0.0176554878;0.0191282605;0.0050975859;0.0013854297;0.0010528183;0.0005459971;0.0020187984
0.04625616;0.2742856616;0.6029090331;0.0063302878;0.0038651663;0.0339529021;0.0211269349;0.0030758039;0.0021171255;0.001794716;0.0042862088
0.0009421599;0.1184573056;0.3095578123;0.4786398856;0.0075937748;0.0105059692;0.0531019047;0.0036520184;0.006058786;0.0035706148;0.0079197688
0.0007135617;0.0830094136;0.0815675296;0.236644421;0.497511845;0.0099304328;0.0604814753;0.0043646511;0.0092597836;0.0048194441;0.0116974421
0.001072768;0.0035637167;0.125941759;0.0158828397;0.1678306854;0.5822236995;0.0282281582;0.0332623733;0.0113805718;0.0098980346;0.0207153938
0.0006674588;0.0036029939;0.0047407705;0.0576427596;0.046862984;0.1473925504;0.6174097817;0.0189132061;0.0324303043;0.0232549594;0.0470822313
0.0003976054;0.002439937;0.0120193138;0.004091818;0.0054332152;0.0639743846;0.2842200458;0.440648689;0.0390120923;0.0512089594;0.0965539396
0.0003766438;0.0035594642;0.0061374041;0.010227721;0.0131867602;0.0265512355;0.1356124211;0.1258457768;0.4223343995;0.0735899291;0.1825782447
0.0001363944;0.0006556927;0.0019369205;0.00442558;0.0055633998;0.0261758205;0.0928184917;0.0782582744;0.160122603;0.182333932;0.447572891
