_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.9188687808;0.0435928436;0.0238345376;0.0069940541;0.0016367893;0.0026300624;0.0013648012;0.0002234315;0.0001939622;0.0001019968;0.0005587405
0.2814045857;0.6679575357;0.0095882479;0.0095134665;0.0125469066;0.0128740579;0.0032114451;0.0008426571;0.0006274514;0.0003197217;0.0011139244
0.066877914;0.321577539;0.5580102554;0.0047745813;0.0028953205;0.0246587522;0.0143329521;0.001972783;0.0013299807;0.0011042808;0.0024656409
0.0017220223;0.1581079632;0.3416891084;0.43282385;0.0058350069;0.007986361;0.038365705;0.002461044;0.003995836;0.0022894619;0.0047236414
0.0013223654;0.1142101657;0.0992001215;0.25915345;0.4541394964;0.0076896242;0.0446598576;0.0030259865;0.0062790475;0.0031723327;0.0071475525
0.0019479307;0.0058339949;0.1656154495;0.0190547734;0.1892992503;0.5439888883;0.0217036946;0.0245433516;0.0080582327;0.0068137984;0.0131406355
0.0012409966;0.0059602181;0.0073417713;0.0791508124;0.0589412382;0.1709465699;0.5878243063;0.0148940274;0.0248514651;0.0171691807;0.0316794142
0.0007579583;0.0041371873;0.0183426314;0.0059327822;0.0077324538;0.0844783305;0.3220795634;0.4148318884;0.0321551057;0.040684417;0.0688676821
0.0007198417;0.0059482267;0.0094785823;0.014963014;0.0184643732;0.0355188572;0.1649296117;0.1394560763;0.4095176914;0.0627989721;0.1382047534
0.0002730917;0.0011872361;0.0032576255;0.0069903162;0.0083824379;0.0368674807;0.1178081388;0.0916505621;0.1744509553;0.1826120429;0.3765201128
